Site No,Location,Gage,Remarks,Valid
12025700,"LOCATION - Lat 46Â°46'22"", long 122Â°35'34"" referenced to North American Datum of 1927, in SW 1/4 NW 1/4 sec.20, T.15 N., R.2 E., Thurston County, WA, Hydrologic Unit 17100103, on right bank about 150 ft downstream from logging road No. 2120 bridge, 0.4 mi downstream from Hospital Creek, 5.8 mi southeast of Vail at mile 28.8.","GAGE - Water-stage recorder. Gage is referenced to NAVD88 as of 5/2018. Prior to that, datum of gage was 710 ft above NGVD of 1929, from topographic map, or 719.53 ft above NAVD88.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12026150,"LOCATION - Lat 46Â°47'25"", long 122Â°44'03"" referenced to North American Datum of 1927, in NW 1/4 NW 1/4 sec.18, T.15 N., R.1 E., Thurston County, WA, Hydrologic Unit 17100103, on right bank 0.7 mi downstream from Bloody Run Creek, 1.2 mi downstream from Skookumchuck Dam, 12 mi northeast of Centralia, and at mile 20.7.","GAGE - Water-stage recorder. Gage datum is referenced to NAVD88 beginning 5/2018. Prior to that, gage was referenced to 317.34 ft above NGVD of 1929, or 320.87 ft above NAVD88. Apr. 1, 1929, to Sept. 30, 1931, and Feb. 1, 1932, to Dec. 6, 1933, nonrecording gage at site 1.1 mi upstream at different datum. Oct. 9, 1939, to July 31, 1969, at site 1.3 mi upstream at datum 301.04 ft above NGVD of 1929.",REMARKS - Flow regulated by Skookumchuck Dam since January 1971. No diversions upstream from station. U.S. Geological Survey satellite telemeter at station.,0.0
12026400,"LOCATION - Lat 46Â°46'20"", long 122Â°55'23"" referenced to North American Datum of 1927, in SW 1/4 NW 1/4 sec.22, T.15 N., R.2 W., Thurston County, WA, Hydrologic Unit 17100103, on left bank 100 ft downstream from bridge on State Highway 507, 3.3 miles southwest of Bucoda, and at mile 6.4.","GAGE - Water-stage recorder. Datum of gage is 198.19 ft above NGVD of 1929. Prior to Oct. 1, 1992, at datum 0.41 ft higher.","REMARKS - Flow regulated by Skookumchuck Dam since January 1971. An average of 30 ft3/s is diverted at point 0.5 mi upstream for consumptive use at Centralia Steam Electric Project. During peak demand months, up to 54 ft3/s may be diverted for periods of one day or less. Other minor diversions for domestic use and irrigation upstream from station. Water temperatures, October 1968 to September 1971. Sediment records, July 1968 to September 1971. U.S. Geological Survey satellite telemeter at station.",0.0
12027500,"LOCATION - Lat 46Â°46'34"", long 123Â°02'04"" referenced to North American Datum of 1927, in NE 1/4 NE 1/4 sec.22, T.15 N., R.3 W., Thurston County, WA, Hydrologic Unit 17100103, on left bank at downstream side of highway bridge at Meadows, 1.5 mi southwest of Grand Mound, 7.0 mi downstream from Skookumchuck River, and at mile 59.9.","GAGE - Water-stage recorder. Datum of gage is NAVD of 1988. Prior to May 10, 2018, water-stage recorder at present site at datum 123.65 ft above NGVD of 1929. Prior to Oct. 3, 1934, nonrecording gage at present site at datum 3.0 ft higher.","REMARKS - Elevation record only. Minor effect from regulation on Skookumchuck River by Skookumchuck Dam since January 1971. Up to 54 ft3/s of Skookumchuck River is consumptively used at Centralia steam generating plant. Many small diversions for irrigation and domestic use upstream from station, including about 3 ft3/s for municipal water supply for Centralia and Chehalis. U.S. Geological Survey satellite telemeter at station.",1.0
12028060,"LOCATION - Lat 46Â°48'25"", long 123Â°07'08"" referenced to North American Datum of 1927, in NE 1/4 NE 1/4 sec.12, T.15 N., R.4 W., Thurston County, WA, Hydrologic Unit 17100103, at Independence Rd bridge, 1.6 mi southwest of Rochester, and at mile 54.2.",GAGE - Water stage recorder. Datum of gage is NAVD of 1988.,,0.0
12031000,"LOCATION - Lat 46Â°56'22"", long 123Â°18'47"" referenced to North American Datum of 1927, in SW 1/4 SE 1/4 sec.21, T.17 N., R.5 W., Grays Harbor County, WA, Hydrologic Unit 17100103, at downstream end of left bank bridge pier, 30 ft downstream from Porter Creek, 0.1 mi west of Porter, and at mile 33.3.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is NAVD of 1988. Prior to May 10, 2018, water-stage recorder at present site at datum 23.64 ft above NGVD of 1929.","REMARKS - Minor effect from regulation on Skookumchuck River by Skookumchuck Dam since January 1971. Up to 54 ft3/s of Skookumchuck River is consumptively used at Centralia steam generating plant. Many small diversions for irrigation and domestic use upstream from station, including about 3 ft3/s for municipal water supply for Centralia and Chehalis. U.S. Geological Survey satellite telemeter at station. Suspended sediment October 1961 to September 1971. Water temperatures July 1959 to September 1960, October 1961 to July 1972. Chemical analyses July 1959 to September 1973, October 1974 to September 1994.",1.0
12035000,"LOCATION - Lat 47Â°00'03"", long 123Â°29'37"" referenced to North American Datum of 1927, in NE 1/4 SE 1/4 sec.36, T.18 N., R.7 W., Grays Harbor County, WA, Hydrologic Unit 17100104, on upstream side of bridge on old U.S. Highway 410, 0.6 mi west of Satsop, and 2.3 mi upstream from mouth.","GAGE - Water-stage recorder. Datum of gage is NAVD88. Prior to May 9, 2018, datum of gage NGVD of 1929, 3.89 ft lower. Prior to Mar. 19, 1938, nonrecording gage at site 60 ft upstream at datum 20.9 ft higher.","REMARKS - No regulation or diversion upstream from station. Chemical analyses July 1960 to September 1971, October 1974 to September 1975, October 1976 to June 1980; sediment records November 1961 to June 1965 (partial-record station). U.S. Geological Survey satellite telemeter at station.",2.0
12035100,"LOCATION - Lat 46Â°57'45"", long 123Â°36'12"" referenced to North American Datum of 1927, in NE 1/4 SW 1/4 sec.18, T.17 N., R.7 W., Grays Harbor County, WA, Hydrologic Unit 17100104, on downstream side of State Highway 107 bridge, 0.2 mi upstream from Wynoochee River, 1.1 mi south of Montesano and at mile 13.2.",GAGE - Water-stage recorder. Datum of gage is NAVD of 1988.,"REMARKS - Elevation record only. Large diurnal fluctuation because of tides. Minor effect from regulation on Skookumchuck River by Skookumchuck Dam since January 1971. Up to 54 ft3/s of Skookumchuck River is consumptively used at Centralia steam generating plant. Many small diversions for irrigation and domestic use upstream from station, including about 3 ft3/s for municipal water supply for Centralia and Chehalis. U.S. Geological Survey satellite telemeter at station. Chemical analyses, March 1970 to September 1971, October 1977 to June 1980.",1.0
12035380,"LOCATION - Lat 47Â°23'08"", long 123Â°36'16"" referenced to North American Datum of 1927, in NE 1/4 NW 1/4 sec.20, T.22 N., R.7 W., Grays Harbor County, WA, Hydrologic Unit 17100104, Olympic National Forest, in monolith No. 6, near center line axis of Wynoochee Dam on Wynoochee River, 2.0 mi north of Grisdale, at river mile 51.8.","GAGE - Water-stage recorder. Datum of gage is NGVD of 1929 (levels by Corps of Engineers). Prior to May 22, 1973, staff gage on upstream face of dam.","REMARKS - Reservoir is formed by concrete gravity-type dam with gate-type spillway. Construction began in 1969 and was completed in 1972. Usable capacity, 67,288 acre-ft between elevation 690 ft, sluice invert level, and 800 ft, full pool elevation at 69,405 acre-ft. Dead storage 2,117 acre-ft below elevation 690 ft. Figures given herein represent total contents. Water is used for power generation, flood control, water supply, and recreation. Capacity table, dated November 1972, furnished by Corps of Engineers. U.S. Geological Survey satellite telemeter at station..",0.0
12035400,"LOCATION - Lat 47Â°22'50"", long 123Â°36'31"" referenced to North American Datum of 1927, in NW 1/4 SW 1/4 sec.20, T.22 N., R.7 W., Grays Harbor County, WA, Hydrologic Unit 17100104, Olympic National Forest, on right bank 0.5 mi downstream from Wynoochee Dam, 1.7 mi north of Grisdale, 1.7 mi downstream from Scatter Creek, and at mile 51.3.","GAGE - Water-stage recorder. Elevation of gage is 630 ft above NGVD of 1929, from topographic map. Prior to Nov. 3, 1967, at site 1,500 ft upstream at different datum.","REMARKS - Since August 1972, flow regulated by Wynoochee Lake (station 12035380) for flood control, during summer months to augment the natural river flow, and for the water supply for the City of Aberdeen. Some regulation from 1969 to August 1972 due to dam construction. No diversion upstream from station. Tacoma Public Utilities satellite telemeter at station.",0.0
12035450,"LOCATION - Lat 47Â°22'28"", long 123Â°38'08"" referenced to North American Datum of 1927, in SE 1/4 SE 1/4 sec.24, T.22 N., R.8 W., Grays Harbor County, WA, Hydrologic Unit 17100104, on left bank 280 ft upstream from road bridge, 1.5 miles northwest of Grisdale, and 0.6 mi upstream from mouth.","GAGE - Water-stage recorder. Elevation of gage is 600 ft above NGVD of 1929, from topographic map. Prior to Oct. 1, 1990, at a site 300 ft upstream, at different datum.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12036000,"LOCATION - Lat 47Â°17'57"", long 123Â°39'07"" referenced to North American Datum of 1927, in NE 1/4 NE 1/4 sec.23, T.21 N., R.8 W., Grays Harbor County, WA, Hydrologic Unit 17100104, on right bank 0.8 mi upstream from Save Creek, 2.5 mi downstream from Oxbow Dam Site, 11.0 mi downstream from Wynoochee Dam, 23.5 mi northeast of city hall in Aberdeen, and at mile 40.6.","GAGE - Water-stage recorder. Datum of gage is 401 ft above NGVD of 1929 (stadia traverse). Prior to Nov. 7, 1925, nonrecording gage at site 2.3 mi upstream at different datum. Nov. 7, 1925, to Sept. 3, 1947, water-stage recorder at site 1.5 mi upstream at datum 444.0 ft above NGVD of 1929 (levels by City of Aberdeen). Sept. 4, 1947, to Oct. 13, 1952, water-stage recorder at site 2.5 mi upstream at datum about 91 ft higher. Oct. 5, 1951, to Sept. 30, 1976, water-stage recorder on left bank at same site and datum.","REMARKS - Since August 1972, flow regulated by Wynoochee Lake (station 12035380) for flood control, during summer months to augment the natural river flow, and for the water supply for the City of Aberdeen. Some regulation from August 1969 to September 1972 due to dam construction. No diversions upstream from station. U.S. Geological Survey satellite telemeter at station.",0.0
12036400,,,,0.0
12037400,"LOCATION - Lat 47Â°00'42"", long 123Â°39'15"" referenced to North American Datum of 1927, in SE 1/4 SE 1/4 sec.27, T.18 N., R.8 W., Grays Harbor County, WA, Hydrologic Unit 17100104, on left bank 2,000 ft upstream from Black Creek, 3.5 mi northwest of Montesano, and at mile 5.9.","GAGE - Water-stage recorder. Elevation of gage is referenced to NAVD88 as of 5/9/2018. Previous to this, datum was 40 ft above NGVD of 1929, from topographic map.","REMARKS - Since August 1972, flow regulated by Wynoochee Dam, 45.7 mi upstream, for flood control, during summer months to augment the natural river flow, and for the water supply for the City of Aberdeen. Some regulation from 1969 to August 1972 due to dam construction. Sediment records October 1961 to June 1965. Water temperatures October 1969 to September 1986. Tacoma Public Utilities satellite telemeter at station.
Water Year 2014: City of Aberdeen diverted about 66 ft3/s for municipal supply at intake 2.2 mi upstream.
Water Year 2015: City of Aberdeen diverted about 65 ft3/s for municipal supply at intake 2.2 mi upstream.
Water Year 2016: City of Aberdeen diverted about 61 ft3/s for municipal supply at intake 2.2 mi upstream.
Water Year 2017: City of Aberdeen diverted about 68 ft3/s for municipal supply at intake 2.2 mi upstream.
Water Year 2018: City of Aberdeen diverted about 65 ft3/s for municipal supply at intake 2.2 mi upstream.
Water Year 2019: City of Aberdeen diverted about 56 ft3/s for municipal supply at intake 2.2 mi upstream.
Water Year 2020: City of Aberdeen diverted about 50 ft3/s for municipal supply at intake 2.2 mi upstream.
Water Year 2021: City of Aberdeen diverted about 54 ft3/s for municipal supply at intake 2.2 mi upstream.",0.0
12039005,"LOCATION - Lat 47Â°13'54"", long 123Â°58'22"" referenced to North American Datum of 1927, in SE 1/4 SW 1/4 sec.07, T.22 N., R.10 W., Grays Harbor County, WA, Hydrologic Unit 17100105, on right bank at site of former bridge 0.6 mi downstream of Highway 101, 0.5 mi west of Humptulips, and at mile 22.9.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is 90.00 ft above NGVD of 1929. May 1933 to Jan. 1935 and July 1942 to Sept. 1979, at site 1.0 mi upstream at different datum.","REMARKS - No regulation or diversion upstream of station. U.S. Geological Survey satellite telemeter at station.
Water Years 2014, 2015: No estimated daily discharges. Records good except for flows above 8,000 ft3/s, which are poor.
Water Years 2016, 2017: No estimated daily discharges. Records fair except for flows above 8,000 ft3/s, which are poor.
Water Years 2018, 2019, 2020: No estimated discharges. Records fair except for flows above 8,000 ft3/s, which are poor.",2.0
12039500,"LOCATION - Lat 47Â°27'28"", long 123Â°53'17"" referenced to North American Datum of 1927, in SW 1/4 NE 1/4 sec.25, T.23 N., R.10 W., Grays Harbor County, WA, Hydrologic Unit 17100102, Quinault Indian Reservation, on left bank at outlet of Quinault Lake, 50 ft downstream from Olympic Highway bridge on U.S. Highway 101, 2.0 mi southwest of Quinault, and at mile 33.4.","GAGE - Water-stage recorder. Datum of gage is 178.44 ft above NGVD of 1929. Prior to Sept. 30, 1916, nonrecording gages at sites within 4 mi northeast of present site, at different datum. Oct. 1, 1916, to May 2, 1935, water-stage recorder at site 300 ft downstream from present site at datum 0.36 ft higher than present datum.","REMARKS - Flow affected by natural storage in Quinault Lake. No diversions upstream from station. Chemical analyses July 1959 to June 1960, October 1962 to September 1970 (partial-record station), October 1971 to September 1974. U.S. Geological Survey satellite telemeter at station.",1.0
12039510,"LOCATION - Lat 47Â°21'29.97"", long 123Â°59'38.36"" referenced to North American Datum of 1983, in NE 1/4 NE 1/4 sec.31, T.22 N., R.10 W., Grays Harbor County, WA, Hydrologic Unit 17100102, Quinault National Fish Hatchery, on right bank 200 feet below Hatchery weir and outflow, 4.5 mi downstream of Highway 101, 11.4 mi southwest of Quinault, and 13.1 mi northwest of Humptulips.","GAGE - Water-stage recorder. Elevation of gage is 160 feet above NAVD88, from digital map.",REMARKS - Water is diverted and returned to the stream above the gaging station for the Quinault Fish Hatchery daily operations. U.S. Geological Survey satellite telemeter at station.,0.0
1203951610,"LOCATION - Lat 47Â°21'28"", long 124Â°11'04"" referenced to North American Datum of 1983, in NE 1/4 NE 1/4 sec.34, T.22 N., R.12 W., Grays Harbor County, WA, Hydrologic Unit 17100102, on left bank, 5 mi northeast of Taholah, 1.0 mi downstream of Mount Creek and at mile 8.5.",GAGE - Water-stage recorder. Datum of gage is arbitrary and is 26.227 ft above NAVD88.,REMARKS - Flow affected by natural storage in Quinault Lake. No diversions upstream from station.,1.0
12040500,"LOCATION - Lat 47Â°32'17"", long 124Â°18'52"" referenced to North American Datum of 1927, in NE 1/4 SW 1/4 sec.36, T.24 N., R.13 W., Jefferson County, WA, Hydrologic Unit 17100102, Quinault Indian Reservation, on right bank 2.4 mi downstream from mouth of Clearwater River, 0.8 mi east of Queets, and at mile 4.6.","GAGE - Water-stage recorder. Datum of gage is 14.5 ft above NGVD of 1929 (river-profile survey). Sept. 15, 1930, to Jan. 22, 1935, at datum 4.0 ft higher.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station. Chemical analyses October 1977 to September 1993.,2.0
12041200,"LOCATION - Lat 47Â°48'25"", long 124Â°14'59"" referenced to North American Datum of 1927, in NE 1/4 NE 1/4 sec.33, T.27 N., R.12 W., Jefferson County, WA, Hydrologic Unit 17100101, on left bank 250 ft downstream from U.S. Highway 101, 1.0 mi downstream from Hell Roaring Creek, 11.5 mi southeast of Forks, and at mile 15.4.",GAGE - Water-stage recorder and crest-stage gage. Datum of gage is 163.64 ft above NGVD of 1929.,"REMARKS - No regulation or diversion upstream from station. Chemical analyses July 1960 to September 1961, November 1961 to September 1970 (partial-record station), October 1971 to September 1974. Water temperatures November 1970 to April 1971. U.S. Geological Survey satellite telemeter at station.",2.0
12042800,"LOCATION - Lat 47Â°53'39.91"", long 124Â°21'25.52"" referenced to North American Datum of 1983, in NE 1/4 NE 1/4 sec.34, T.28 N., R.13 W., Clallam County, WA, Hydrologic Unit 17100101, on right bank at US Highway 101 bridge, 0.6 mi downstream from Bear Creek, 4.2 mi southeast of Forks, and at mile 15.2.","GAGE - Water stage recorder. Non-recording gage and crest-stage gage Dec. 17, 1979 to September 1980. Prior to Dec. 17, 1979, recording gage and crest-stage gage. Datum of gage is arbitrary (gage installation on August 29, 2018) and is 169.264 feet above NAVD88, from levels.",REMARKS - No regulations or diversion upstream from station.,2.0
12043000,"LOCATION - Lat 47Â°57'37"", long 124Â°23'30"" referenced to North American Datum of 1927, in NW 1/4 SW 1/4 sec.04, T.28 N., R.13 W., Clallam County, WA, Hydrologic Unit 17100101, on left bank 30 ft downstream from U.S. Highway 101 bridge, 0.8 mi northwest of Forks, and at mile 6.6.","GAGE - Water-stage recorder, crest-stage gage, Turbidity sensor, and Water Temperature sensor. Datum of gage is 201.58 ft above NGVD of 1929 and is 205.036 ft above NAVD of 1988. November 1897 to December 1901, nonrecording gage at same site but at different datum; October to December 1975, nonrecording gage and crest-stage gage at same site and datum.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12043015,"LOCATION - Lat 47Â°54'11"", long 124Â°32'39"" referenced to North American Datum of 1927, in SW 1/4 NW 1/4 sec.29, T.28 N., R.14 W., Clallam County, WA, Hydrologic Unit 17100101, near La Push.",GAGE - Water-stage recorder. Design Analysis H-350XL pressure transducer with electronic data logger housed in a steel CMP walk-in gage house. Orifice pipe is bolted to the downstream side of old concrete bridge pier about 150 ft streamward from gage house. Outside staff gages (base reference) also mounted on the bridge pier.,REMARKS - This site was measured as part of a 2010 Bathymetric and Streamflow of Clallam County investigation.,0.0
12043163,"LOCATION - Lat 48Â°15'56"", long 124Â°37'28"" referenced to North American Datum of 1927, in NW 1/4 NW 1/4 sec.21, T.32 N., R.15 W., Clallam County, WA, Hydrologic Unit 17100101, on left bank at approach to washed out bridge on former Crown Zellerback logging road, 0.6 mi downstream from Miller Creek, and 8 mi north of Ozette.","GAGE - Water-stage recorder and crest-stage gage. Elevation of gage is 70 ft above NGVD 1929, from topographic map.","REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,",2.0
12043300,"LOCATION - Lat 48Â°14'30"", long 124Â°22'57"" referenced to North American Datum of 1927, in NE 1/4 SW 1/4 sec.28, T.32 N., R.13 W., Clallam County, WA, Hydrologic Unit 17110021, on right bank 2.2 mi upstream from Little Hoko River, 4.0 mi southwest of Sekiu, and at mile 5.3.","GAGE - Water-stage recorder. Elevation of gage is 50 ft above NGVD of 1929, from topographic map.","REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.
Water Year 2014: Records good except estimated daily discharges and flows above 2,000 cfs, which are fair.
Water Years 2015 and 2016: No estimated daily discharges. Records good except for flows above 2,000 cfs, which are fair.
Water Years 2017 and 2018: No estimated discharges. Records good except for flows above 2,000 cfs, which are fair.
Water Year 2019: Records good except estimated discharges and flows above 2,000 cfs, which are fair.
Water Year 2020: No estimated discharges. Records good except for flows above 2000 cfs, which are fair",2.0
